seed,model,n_train,n_validation,n_test,test_positive_rate,train_seconds,accuracy,precision,recall,f1,auroc,auprc,brier,precision_at_k,recall_at_k,k
42,Elliptic2_LogisticRegression,85267,18271,18272,0.022712346760070053,8.924432516098022,0.7940017513134852,0.08684924747100913,0.8481927710843373,0.1575649059982095,0.8852711400004453,0.15193625565837254,0.14404550439008623,0.18161925601750548,0.4,914
42,Elliptic2_RandomForest,85267,18271,18272,0.022712346760070053,39.114337682724,0.9818848511383538,0.9285714285714286,0.21927710843373494,0.35477582846003897,0.9226059639802419,0.49404232321751523,0.015623037891063271,0.2702407002188184,0.5951807228915663,914
42,Elliptic2_ExtraTrees,85267,18271,18272,0.022712346760070053,20.063308238983154,0.9814470227670753,0.88,0.21204819277108433,0.341747572815534,0.9204912386287043,0.46168003266530777,0.016539998278039505,0.26695842450765866,0.5879518072289157,914
42,Elliptic2_HistGradientBoosting,85267,18271,18272,0.022712346760070053,3.6102652549743652,0.8635617338003503,0.12490974729241877,0.8337349397590361,0.21726844583987442,0.9286553617730147,0.46681206433210276,0.08486920616617462,0.26805251641137856,0.5903614457831325,914
42,Elliptic2_MLP,85267,18271,18272,0.022712346760070053,10.425644159317017,0.9815017513134852,0.7769784172661871,0.26024096385542167,0.3898916967509025,0.9120639133787768,0.4370737614261049,0.01631535623027596,0.25820568927789933,0.5686746987951807,914
42,Elliptic2_XGBoost,85267,18271,18272,0.022712346760070053,3.7615888118743896,0.8584172504378283,0.12054507337526206,0.8313253012048193,0.2105584375953616,0.9256080602861689,0.46745246315050304,0.09073499790265949,0.27571115973741794,0.6072289156626506,914
123,Elliptic2_LogisticRegression,85267,18271,18272,0.022712346760070053,9.479541540145874,0.7961361646234676,0.08625,0.8313253012048193,0.15628539071347677,0.8827395149281676,0.1447079624270165,0.14323999590863856,0.1586433260393873,0.3493975903614458,914
123,Elliptic2_RandomForest,85267,18271,18272,0.022712346760070053,38.95859980583191,0.9817206654991243,0.900990099009901,0.21927710843373494,0.35271317829457366,0.9224895100365622,0.4793164898711645,0.01579866894608076,0.26914660831509846,0.5927710843373494,914
123,Elliptic2_ExtraTrees,85267,18271,18272,0.022712346760070053,24.400413751602173,0.9815564798598949,0.89,0.21445783132530122,0.34563106796116505,0.9221294204088573,0.45315534455451845,0.01663241754350731,0.24726477024070023,0.5445783132530121,914
123,Elliptic2_HistGradientBoosting,85267,18271,18272,0.022712346760070053,4.7909111976623535,0.8719352014010507,0.1310847067842085,0.8240963855421687,0.2261904761904762,0.9304849571326692,0.47367426906662746,0.08123785497466113,0.2811816192560175,0.619277108433735,914
