model,family,feature_set,policy,threshold,accuracy,precision,recall,f1,false_positives_per_true_positive,predicted_positive_rate,tp,fp,tn,fn
StrictTemporalGCN,strict_temporal_graph_ai,model_native,validation_precision_at_least_80pct,0.9122918248176575,0.9538513742789277,0.5,0.0024509803921568627,0.004878048780487805,1.0,0.00022621875353466802,1,1,8432,407
ExtraTrees__graph_handcrafted,feature_ablation,graph_handcrafted,validation_precision_at_least_80pct,0.911749838017409,0.9527202805112543,0.08333333333333333,0.0024509803921568627,0.004761904761904762,11.0,0.0013573125212080082,1,11,8422,407
ExtraTrees__node2vec_embedding,feature_ablation,node2vec_embedding,validation_precision_at_least_80pct,0.36741110106834324,0.9536251555253931,0.0,0.0,0.0,2.0,0.00022621875353466802,0,2,8431,408
HistGradientBoosting__node2vec_embedding,feature_ablation,node2vec_embedding,validation_precision_at_least_80pct,0.8163831559780231,0.9507974211062097,0.0,0.0,0.0,27.0,0.003053953172718018,0,27,8406,408
XGBoost__node2vec_embedding,feature_ablation,node2vec_embedding,validation_precision_at_least_80pct,0.8189214468002319,0.9535120461486257,0.0,0.0,0.0,3.0,0.00033932813030200206,0,3,8430,408
GCN,graph_ai,model_native,validation_precision_at_least_80pct,0.9999749660491943,0.9538513742789277,0.0,0.0,0.0,0.0,0.0,0,0,8433,408
HistGradientBoosting,tabular_ml,model_native,validation_precision_at_least_90pct,0.5502049675387369,0.9649360932021265,0.6666666666666666,0.4803921568627451,0.5584045584045584,0.5,0.0332541567695962,196,98,8335,212
Random Forest,tabular_ml,model_native,validation_precision_at_least_90pct,0.3509793144414043,0.9641443275647551,0.6531986531986532,0.47549019607843135,0.550354609929078,0.5309278350515464,0.033593484899898204,194,103,8330,214
XGBoost__tabular_plus_graph_plus_spectral,feature_ablation,tabular_plus_graph_plus_spectral,validation_precision_at_least_90pct,0.7154665589332581,0.9625607962900125,0.6222222222222222,0.4803921568627451,0.5421853388658368,0.6071428571428571,0.035629453681710214,196,119,8314,212
XGBoost__all_features,feature_ablation,all_features,validation_precision_at_least_90pct,0.7476750016212463,0.9625607962900125,0.6222222222222222,0.4803921568627451,0.5421853388658368,0.6071428571428571,0.035629453681710214,196,119,8314,212
Extra Trees,tabular_ml,model_native,validation_precision_at_least_90pct,0.33209553501501665,0.9617690306526411,0.6060606060606061,0.49019607843137253,0.5420054200542005,0.65,0.037326094333220226,200,130,8303,208
XGBoost__tabular_plus_graph_plus_node2vec,feature_ablation,tabular_plus_graph_plus_node2vec,validation_precision_at_least_90pct,0.6717914342880249,0.9618821400294084,0.6105919003115264,0.4803921568627451,0.5377229080932785,0.6377551020408163,0.03630810994231422,196,125,8308,212
XGBoost,tabular_ml,model_native,validation_precision_at_least_90pct,0.5621950626373291,0.9612034837688044,0.5975975975975976,0.4877450980392157,0.5371120107962213,0.6733668341708543,0.037665422463522225,199,134,8299,209
ExtraTrees__tabular_plus_graph_plus_node2vec,feature_ablation,tabular_plus_graph_plus_node2vec,validation_precision_at_least_90pct,0.29422347160204804,0.9614297025223391,0.6024464831804281,0.48284313725490197,0.5360544217687074,0.6598984771573604,0.03698676620291822,197,130,8303,211
XGBoost__tabular_plus_graph,feature_ablation,tabular_plus_graph,validation_precision_at_least_90pct,0.6715577840805054,0.9615428118991064,0.6049382716049383,0.4803921568627451,0.5355191256830601,0.6530612244897959,0.03664743807261622,196,128,8305,212
ExtraTrees__tabular_plus_graph,feature_ablation,tabular_plus_graph,validation_precision_at_least_90pct,0.3075319633686695,0.9609772650152698,0.595166163141994,0.48284313725490197,0.5331529093369418,0.6802030456852792,0.03743920370998756,197,134,8299,211
ExtraTrees__tabular_plus_graph_plus_spectral,feature_ablation,tabular_plus_graph_plus_spectral,validation_precision_at_least_90pct,0.30268421175733057,0.9606379368849678,0.5898203592814372,0.48284313725490197,0.5309973045822103,0.6954314720812182,0.03777853184028956,197,137,8296,211
HistGradientBoosting__tabular_plus_graph_plus_spectral,feature_ablation,tabular_plus_graph_plus_spectral,validation_precision_at_least_90pct,0.5357765493692369,0.9600723900011311,0.5811209439528023,0.48284313725490197,0.5274431057563588,0.7208121827411168,0.03834407872412623,197,142,8291,211
ExtraTrees__all_features,feature_ablation,all_features,validation_precision_at_least_90pct,0.2956273834813077,0.9600723900011311,0.5816023738872403,0.4803921568627451,0.5261744966442953,0.7193877551020408,0.03811785997059156,196,141,8292,212
HistGradientBoosting__tabular_plus_graph,feature_ablation,tabular_plus_graph,validation_precision_at_least_90pct,0.5634509867003372,0.9579233118425518,0.5508474576271186,0.47794117647058826,0.5118110236220472,0.8153846153846154,0.04004071937563624,195,159,8274,213
HistGradientBoosting__all_features,feature_ablation,all_features,validation_precision_at_least_90pct,0.5292040479468353,0.9579233118425518,0.5508474576271186,0.47794117647058826,0.5118110236220472,0.8153846153846154,0.04004071937563624,195,159,8274,213
HistGradientBoosting__tabular_plus_graph_plus_node2vec,feature_ablation,tabular_plus_graph_plus_node2vec,validation_precision_at_least_90pct,0.4792032171423765,0.9541907024092298,0.5038759689922481,0.47794117647058826,0.49056603773584906,0.9846153846153847,0.04377332880895826,195,192,8241,213
GraphSAGE,graph_ai,model_native,validation_precision_at_least_90pct,0.7672081589698792,0.9435584209931003,0.36,0.2867647058823529,0.31923601637107774,1.7777777777777777,0.036760547449383556,117,208,8225,291
StrictTemporalGraphSAGE,strict_temporal_graph_ai,model_native,validation_precision_at_least_90pct,0.9487757086753845,0.9608641556385025,0.8690476190476191,0.17892156862745098,0.2967479674796748,0.1506849315068493,0.009501187648456057,73,11,8422,335
ResidualGCN,graph_ai,model_native,validation_precision_at_least_90pct,0.5544684529304504,0.9288542020133469,0.15789473684210525,0.125,0.13953488372093023,5.333333333333333,0.03653432869584888,51,272,8161,357
XGBoost__graph_handcrafted,feature_ablation,graph_handcrafted,validation_precision_at_least_90pct,0.681049644947052,0.7151905892998529,0.07630522088353414,0.46568627450980393,0.13112491373360938,12.105263157894736,0.2816423481506617,190,2300,6133,218
GATLite,graph_ai,model_native,validation_precision_at_least_90pct,0.8444734215736389,0.9504580929759077,0.3404255319148936,0.0784313725490196,0.12749003984063745,1.9375,0.010632281416129397,32,62,8371,376
HistGradientBoosting__graph_handcrafted,feature_ablation,graph_handcrafted,validation_precision_at_least_90pct,0.679248703242125,0.6910982920484108,0.07250644092749356,0.48284313725490197,0.12608,12.791878172588833,0.3073181766768465,197,2520,5913,211
HistGradientBoosting__spectral_graph_embedding,feature_ablation,spectral_graph_embedding,validation_precision_at_least_90pct,0.033431221414138235,0.17181314330958036,0.052202072538860105,0.9877450980392157,0.09916338582677166,18.156327543424318,0.8732043886438186,403,7317,1116,5
ExtraTrees__spectral_graph_embedding,feature_ablation,spectral_graph_embedding,validation_precision_at_least_90pct,0.1447915967509235,0.24589978509218413,0.04821712140897936,0.8186274509803921,0.09107021131561009,19.739520958083833,0.7835086528673227,334,6593,1840,74
MLP,tabular_ml,model_native,validation_precision_at_least_90pct,0.796535849571228,0.954982468046601,0.7083333333333334,0.041666666666666664,0.0787037037037037,0.4117647058823529,0.0027146250424160165,17,7,8426,391
XGBoost__spectral_graph_embedding,feature_ablation,spectral_graph_embedding,validation_precision_at_least_90pct,0.507453978061676,0.7962900124420315,0.045068582625734814,0.16911764705882354,0.07117070654976793,21.18840579710145,0.17317045583078838,69,1462,6971,339
Logistic Regression,tabular_ml,model_native,validation_precision_at_least_90pct,1.0,0.9539644836556951,1.0,0.0024509803921568627,0.004889975550122249,0.0,0.00011310937676733401,1,0,8433,407
StrictTemporalGCN,strict_temporal_graph_ai,model_native,validation_precision_at_least_90pct,0.9122918248176575,0.9538513742789277,0.5,0.0024509803921568627,0.004878048780487805,1.0,0.00022621875353466802,1,1,8432,407
ExtraTrees__graph_handcrafted,feature_ablation,graph_handcrafted,validation_precision_at_least_90pct,0.911749838017409,0.9527202805112543,0.08333333333333333,0.0024509803921568627,0.004761904761904762,11.0,0.0013573125212080082,1,11,8422,407
ExtraTrees__node2vec_embedding,feature_ablation,node2vec_embedding,validation_precision_at_least_90pct,0.36741110106834324,0.9536251555253931,0.0,0.0,0.0,2.0,0.00022621875353466802,0,2,8431,408
HistGradientBoosting__node2vec_embedding,feature_ablation,node2vec_embedding,validation_precision_at_least_90pct,0.8163831559780231,0.9507974211062097,0.0,0.0,0.0,27.0,0.003053953172718018,0,27,8406,408
XGBoost__node2vec_embedding,feature_ablation,node2vec_embedding,validation_precision_at_least_90pct,0.8189214468002319,0.9535120461486257,0.0,0.0,0.0,3.0,0.00033932813030200206,0,3,8430,408
GCN,graph_ai,model_native,validation_precision_at_least_90pct,0.9999749660491943,0.9538513742789277,0.0,0.0,0.0,0.0,0.0,0,0,8433,408
