model,family,feature_set,policy,threshold,accuracy,precision,recall,f1,false_positives_per_true_positive,predicted_positive_rate,tp,fp,tn,fn
XGBoost__spectral_graph_embedding,feature_ablation,spectral_graph_embedding,default_0_50,0.5,0.786336387286506,0.04374614910659273,0.17401960784313725,0.06991629739044805,21.859154929577464,0.1835765184933831,71,1552,6881,337
ExtraTrees__spectral_graph_embedding,feature_ablation,spectral_graph_embedding,default_0_50,0.5,0.9445764053840063,0.0,0.0,0.0,82.0,0.009274968894921388,0,82,8351,408
ExtraTrees__node2vec_embedding,feature_ablation,node2vec_embedding,default_0_50,0.5,0.9538513742789277,0.0,0.0,0.0,0.0,0.0,0,0,8433,408
ExtraTrees__tabular_plus_graph_plus_spectral,feature_ablation,tabular_plus_graph_plus_spectral,top_5pct_budget,0.7799853580455011,0.9721750933152359,0.9939024390243902,0.39950980392156865,0.5699300699300699,0.006134969325153374,0.018549937789842777,163,1,8432,245
Extra Trees,tabular_ml,model_native,top_5pct_budget,0.8484248714434297,0.9720619839384685,0.9938650306748467,0.39705882352941174,0.5674255691768827,0.006172839506172839,0.018436828413075444,162,1,8432,246
ExtraTrees__tabular_plus_graph_plus_node2vec,feature_ablation,tabular_plus_graph_plus_node2vec,top_5pct_budget,0.7733378092291192,0.9720619839384685,0.9938650306748467,0.39705882352941174,0.5674255691768827,0.006172839506172839,0.018436828413075444,162,1,8432,246
ExtraTrees__all_features,feature_ablation,all_features,top_5pct_budget,0.7504508035186734,0.9720619839384685,0.9938650306748467,0.39705882352941174,0.5674255691768827,0.006172839506172839,0.018436828413075444,162,1,8432,246
ExtraTrees__tabular_plus_graph,feature_ablation,tabular_plus_graph,top_5pct_budget,0.8133920741541044,0.9719488745617012,0.9938271604938271,0.3946078431372549,0.5649122807017544,0.006211180124223602,0.01832371903630811,161,1,8432,247
Random Forest,tabular_ml,model_native,top_5pct_budget,0.8689772121407573,0.9711571089243298,0.9935483870967742,0.37745098039215685,0.5470692717584369,0.006493506493506494,0.017531953398936772,154,1,8432,254
XGBoost__tabular_plus_graph_plus_spectral,feature_ablation,tabular_plus_graph_plus_spectral,top_5pct_budget,0.992355227470398,0.9709308901707951,0.9808917197452229,0.37745098039215685,0.5451327433628319,0.01948051948051948,0.01775817215247144,154,3,8430,254
XGBoost__all_features,feature_ablation,all_features,top_5pct_budget,0.993680477142334,0.9708177807940278,0.987012987012987,0.37254901960784315,0.5409252669039146,0.013157894736842105,0.01741884402216944,152,2,8431,256
XGBoost,tabular_ml,model_native,top_5pct_budget,0.9915114045143127,0.9707046714172605,0.9806451612903225,0.37254901960784315,0.5399644760213144,0.019736842105263157,0.017531953398936772,152,3,8430,256
XGBoost__tabular_plus_graph_plus_node2vec,feature_ablation,tabular_plus_graph_plus_node2vec,top_5pct_budget,0.9922935962677002,0.9707046714172605,0.9869281045751634,0.3700980392156863,0.5383244206773619,0.013245033112582781,0.017305734645402103,151,2,8431,257
XGBoost__tabular_plus_graph,feature_ablation,tabular_plus_graph,top_5pct_budget,0.9932094216346741,0.9705915620404931,0.9805194805194806,0.3700980392156863,0.5373665480427047,0.019867549668874173,0.01741884402216944,151,3,8430,257
HistGradientBoosting__tabular_plus_graph_plus_node2vec,feature_ablation,tabular_plus_graph_plus_node2vec,top_5pct_budget,0.9990401281132056,0.9701391245334238,0.98,0.3602941176470588,0.5268817204301075,0.02040816326530612,0.0169664065151001,147,3,8430,261
HistGradientBoosting__all_features,feature_ablation,all_features,top_5pct_budget,0.9992523148144844,0.9699129057798892,0.9797297297297297,0.3553921568627451,0.5215827338129496,0.020689655172413793,0.016740187761565432,145,3,8430,263
HistGradientBoosting__tabular_plus_graph,feature_ablation,tabular_plus_graph,top_5pct_budget,0.9989879105281843,0.9697997964031219,0.9795918367346939,0.35294117647058826,0.518918918918919,0.020833333333333332,0.0166270783847981,144,3,8430,264
HistGradientBoosting__tabular_plus_graph_plus_spectral,feature_ablation,tabular_plus_graph_plus_spectral,top_5pct_budget,0.9991590916881559,0.9697997964031219,0.9795918367346939,0.35294117647058826,0.518918918918919,0.020833333333333332,0.0166270783847981,144,3,8430,264
HistGradientBoosting,tabular_ml,model_native,top_5pct_budget,0.9991630107162434,0.9690080307657505,1.0,0.3284313725490196,0.4944649446494465,0.0,0.015156656486822758,134,0,8433,274
StrictTemporalGraphSAGE,strict_temporal_graph_ai,model_native,top_5pct_budget,0.8840722441673279,0.9537382649021604,0.49800796812749004,0.30637254901960786,0.37936267071320184,1.008,0.028390453568600836,125,126,8307,283
MLP,tabular_ml,model_native,top_5pct_budget,0.5601601600646973,0.9627870150435471,0.8434782608695652,0.23774509803921567,0.37093690248565964,0.18556701030927836,0.013007578328243412,97,18,8415,311
GCN,graph_ai,model_native,top_5pct_budget,0.8576115965843201,0.9540775930324624,0.5048543689320388,0.2549019607843137,0.33876221498371334,0.9807692307692307,0.023300531614070807,104,102,8331,304
GraphSAGE,graph_ai,model_native,top_5pct_budget,0.7499848008155823,0.9112091392376428,0.23186344238975817,0.39950980392156865,0.2934293429342934,3.312883435582822,0.07951589186743581,163,540,7893,245
GATLite,graph_ai,model_native,top_5pct_budget,0.8140336871147156,0.9221807487840742,0.21544715447154472,0.25980392156862747,0.23555555555555555,3.641509433962264,0.05564981336952833,106,386,8047,302
Logistic Regression,tabular_ml,model_native,top_5pct_budget,0.9783061085827813,0.9364325302567583,0.21897810218978103,0.14705882352941177,0.17595307917888564,3.566666666666667,0.03099196923424952,60,214,8219,348
ResidualGCN,graph_ai,model_native,top_5pct_budget,0.5510087013244629,0.9098518267164348,0.12810707456978968,0.1642156862745098,0.1439312567132116,6.8059701492537314,0.05915620404931569,67,456,7977,341
StrictTemporalGCN,strict_temporal_graph_ai,model_native,top_5pct_budget,0.7119863629341125,0.884515326320552,0.1034928848641656,0.19607843137254902,0.1354784081287045,8.6625,0.0874335482411492,80,693,7740,328
HistGradientBoosting__spectral_graph_embedding,feature_ablation,spectral_graph_embedding,top_5pct_budget,0.522999003110909,0.88926592014478,0.0693815987933635,0.11274509803921569,0.08590102707749767,13.41304347826087,0.07499151679674244,46,617,7816,362
HistGradientBoosting__node2vec_embedding,feature_ablation,node2vec_embedding,top_5pct_budget,0.589094682387725,0.9121140142517815,0.07192575406032482,0.07598039215686274,0.07389749702026222,12.903225806451612,0.04875014138672096,31,400,8033,377
XGBoost__spectral_graph_embedding,feature_ablation,spectral_graph_embedding,top_5pct_budget,0.5929818153381348,0.9009161859518154,0.05849056603773585,0.07598039215686274,0.06609808102345416,16.096774193548388,0.059947969686687023,31,499,7934,377
ExtraTrees__graph_handcrafted,feature_ablation,graph_handcrafted,top_5pct_budget,0.8961555192387558,0.8808958262639973,0.0502092050209205,0.08823529411764706,0.064,18.916666666666668,0.08109942314217848,36,681,7752,372
HistGradientBoosting__graph_handcrafted,feature_ablation,graph_handcrafted,top_5pct_budget,0.9483731333562524,0.8820269200316706,0.04964539007092199,0.0857843137254902,0.06289308176100629,19.142857142857142,0.07974211062097047,35,670,7763,373
XGBoost__graph_handcrafted,feature_ablation,graph_handcrafted,top_5pct_budget,0.947414755821228,0.8820269200316706,0.04964539007092199,0.0857843137254902,0.06289308176100629,19.142857142857142,0.07974211062097047,35,670,7763,373
ExtraTrees__node2vec_embedding,feature_ablation,node2vec_embedding,top_5pct_budget,0.2701388874360967,0.9130188892659201,0.05432098765432099,0.05392156862745098,0.05412054120541206,17.40909090909091,0.04580929759077027,22,383,8050,386
XGBoost__node2vec_embedding,feature_ablation,node2vec_embedding,top_5pct_budget,0.5901196599006653,0.9086076235719941,0.03051643192488263,0.031862745098039214,0.03117505995203837,31.76923076923077,0.04818459450288429,13,413,8020,395
ExtraTrees__spectral_graph_embedding,feature_ablation,spectral_graph_embedding,top_5pct_budget,0.4956465539246304,0.8910756701730573,0.017391304347826087,0.024509803921568627,0.02034587995930824,56.5,0.06503789164121705,10,565,7868,398
Extra Trees,tabular_ml,model_native,validation_max_f1,0.5185973378219803,0.9739848433435132,0.9320388349514563,0.47058823529411764,0.6254071661237784,0.07291666666666667,0.023300531614070807,192,14,8419,216
HistGradientBoosting,tabular_ml,model_native,validation_max_f1,0.8607002779421482,0.9735324058364438,0.9142857142857143,0.47058823529411764,0.6213592233009708,0.09375,0.023752969121140142,192,18,8415,216
XGBoost__tabular_plus_graph,feature_ablation,tabular_plus_graph,validation_max_f1,0.8716259002685547,0.9734192964596765,0.909952606635071,0.47058823529411764,0.6203554119547657,0.09895833333333333,0.023866078497907478,192,19,8414,216
HistGradientBoosting__tabular_plus_graph_plus_spectral,feature_ablation,tabular_plus_graph_plus_spectral,validation_max_f1,0.8276095859280815,0.9728537495758398,0.8925233644859814,0.4681372549019608,0.6141479099678456,0.12041884816753927,0.02420540662820948,191,23,8410,217
ExtraTrees__tabular_plus_graph_plus_node2vec,feature_ablation,tabular_plus_graph_plus_node2vec,validation_max_f1,0.4063715630867123,0.9725144214455378,0.8767123287671232,0.47058823529411764,0.6124401913875598,0.140625,0.02477095351204615,192,27,8406,216
HistGradientBoosting__tabular_plus_graph_plus_node2vec,feature_ablation,tabular_plus_graph_plus_node2vec,validation_max_f1,0.8170670478929684,0.9722882026920031,0.8687782805429864,0.47058823529411764,0.6104928457869634,0.15104166666666666,0.024997172265580816,192,29,8404,216
XGBoost__all_features,feature_ablation,all_features,validation_max_f1,0.8976415991783142,0.9724013120687705,0.8761467889908257,0.4681372549019608,0.610223642172524,0.14136125654450263,0.024657844135278814,191,27,8406,217
Random Forest,tabular_ml,model_native,validation_max_f1,0.460809029756794,0.9720619839384685,0.8609865470852018,0.47058823529411764,0.6085578446909667,0.16145833333333334,0.025223391019115485,192,31,8402,216
XGBoost__tabular_plus_graph_plus_spectral,feature_ablation,tabular_plus_graph_plus_spectral,validation_max_f1,0.8762354850769043,0.9719488745617012,0.8571428571428571,0.47058823529411764,0.6075949367088608,0.16666666666666666,0.025336500395882817,192,32,8401,216
ExtraTrees__tabular_plus_graph_plus_spectral,feature_ablation,tabular_plus_graph_plus_spectral,validation_max_f1,0.427057260961527,0.9720619839384685,0.8642533936651584,0.4681372549019608,0.6073131955484896,0.15706806282722513,0.024997172265580816,191,30,8403,217
XGBoost,tabular_ml,model_native,validation_max_f1,0.7839753031730652,0.9714964370546318,0.8362068965517241,0.47549019607843135,0.60625,0.1958762886597938,0.02624137541002149,194,38,8395,214
ExtraTrees__all_features,feature_ablation,all_features,validation_max_f1,0.4055873810473516,0.9718357651849339,0.8597285067873304,0.46568627450980393,0.604133545310016,0.1631578947368421,0.024997172265580816,190,31,8402,218
XGBoost__tabular_plus_graph_plus_node2vec,feature_ablation,tabular_plus_graph_plus_node2vec,validation_max_f1,0.8172786831855774,0.9714964370546318,0.8421052631578947,0.47058823529411764,0.6037735849056604,0.1875,0.025788937902952155,192,36,8397,216
ExtraTrees__tabular_plus_graph,feature_ablation,tabular_plus_graph,validation_max_f1,0.4400965712124327,0.9716095464313992,0.8488888888888889,0.4681372549019608,0.6034755134281201,0.17801047120418848,0.025449609772650154,191,34,8399,217
HistGradientBoosting__tabular_plus_graph,feature_ablation,tabular_plus_graph,validation_max_f1,0.7924494858117624,0.9702522339101911,0.7983539094650206,0.47549019607843135,0.5960061443932412,0.25257731958762886,0.027485578554462164,194,49,8384,214
HistGradientBoosting__all_features,feature_ablation,all_features,validation_max_f1,0.7390926673984145,0.9693473588960525,0.7751004016064257,0.4730392156862745,0.5875190258751902,0.29015544041450775,0.02816423481506617,193,56,8377,215
MLP,tabular_ml,model_native,validation_max_f1,0.2902681827545166,0.9664065151001018,0.74235807860262,0.4166666666666667,0.533751962323391,0.34705882352941175,0.025902047279719488,170,59,8374,238
StrictTemporalGraphSAGE,strict_temporal_graph_ai,model_native,validation_max_f1,0.8612998127937317,0.949213889831467,0.4376899696048632,0.35294117647058826,0.39077340569877883,1.2847222222222223,0.03721298495645289,144,185,8248,264
Logistic Regression,tabular_ml,model_native,validation_max_f1,0.9278497540562174,0.9002375296912114,0.23370786516853934,0.5098039215686274,0.3204930662557781,3.2788461538461537,0.10066734532292727,208,682,7751,200
GCN,graph_ai,model_native,validation_max_f1,0.5951611399650574,0.8762583418165366,0.17518939393939395,0.4534313725490196,0.2527322404371585,4.708108108108108,0.11944350186630472,185,871,7562,223
GraphSAGE,graph_ai,model_native,validation_max_f1,0.7308861613273621,0.8589526071711345,0.16520351157222665,0.5073529411764706,0.24924744130042142,5.053140096618358,0.1417260490894695,207,1046,7387,201
GATLite,graph_ai,model_native,validation_max_f1,0.7885565757751465,0.8658522791539419,0.14828209764918626,0.4019607843137255,0.2166446499339498,5.7439024390243905,0.1250989707046714,164,942,7491,244
ResidualGCN,graph_ai,model_native,validation_max_f1,0.5408690571784973,0.8454925913358218,0.13767019667170954,0.44607843137254904,0.21040462427745665,6.263736263736264,0.14953059608641556,182,1140,7293,226
StrictTemporalGCN,strict_temporal_graph_ai,model_native,validation_max_f1,0.6558808088302612,0.7438072616219885,0.0999569151227919,0.5686274509803921,0.17002565042139978,9.004310344827585,0.26252686347698223,232,2089,6344,176
XGBoost__graph_handcrafted,feature_ablation,graph_handcrafted,validation_max_f1,0.681049644947052,0.7151905892998529,0.07630522088353414,0.46568627450980393,0.13112491373360938,12.105263157894736,0.2816423481506617,190,2300,6133,218
ExtraTrees__graph_handcrafted,feature_ablation,graph_handcrafted,validation_max_f1,0.6448075622917835,0.7000339328130302,0.0730593607305936,0.47058823529411764,0.12648221343873517,12.6875,0.2972514421445538,192,2436,5997,216
HistGradientBoosting__graph_handcrafted,feature_ablation,graph_handcrafted,validation_max_f1,0.679248703242125,0.6910982920484108,0.07250644092749356,0.48284313725490197,0.12608,12.791878172588833,0.3073181766768465,197,2520,5913,211
XGBoost__spectral_graph_embedding,feature_ablation,spectral_graph_embedding,validation_max_f1,0.13894622027873993,0.2354937224295894,0.054690786705931846,0.9558823529411765,0.10346199761241544,17.284615384615385,0.8065829657278588,390,6741,1692,18
HistGradientBoosting__spectral_graph_embedding,feature_ablation,spectral_graph_embedding,validation_max_f1,0.033431221414138235,0.17181314330958036,0.052202072538860105,0.9877450980392157,0.09916338582677166,18.156327543424318,0.8732043886438186,403,7317,1116,5
ExtraTrees__node2vec_embedding,feature_ablation,node2vec_embedding,validation_max_f1,0.17252141665725004,0.4044791313199864,0.05235023041474655,0.696078431372549,0.09737699297102692,18.10211267605634,0.613618368962787,284,5141,3292,124
HistGradientBoosting__node2vec_embedding,feature_ablation,node2vec_embedding,validation_max_f1,0.47724492058013235,0.49202578893790294,0.05279299014238773,0.5906862745098039,0.0969233862859441,17.941908713692946,0.5163443049428798,241,4324,4109,167
ExtraTrees__spectral_graph_embedding,feature_ablation,spectral_graph_embedding,validation_max_f1,0.1447915967509235,0.24589978509218413,0.04821712140897936,0.8186274509803921,0.09107021131561009,19.739520958083833,0.7835086528673227,334,6593,1840,74
XGBoost__node2vec_embedding,feature_ablation,node2vec_embedding,validation_max_f1,0.44784069061279297,0.43117294423707725,0.04526667978744341,0.5637254901960784,0.08380397157952268,21.091304347826085,0.5747087433548241,230,4851,3582,178
MLP,tabular_ml,model_native,validation_precision_at_least_80pct,0.4255286455154419,0.9671982807374732,0.8241758241758241,0.36764705882352944,0.5084745762711864,0.21333333333333335,0.02058590657165479,150,32,8401,258
HistGradientBoosting,tabular_ml,model_native,validation_precision_at_least_80pct,0.3395452642753695,0.9518154054971157,0.4788732394366197,0.5,0.4892086330935252,1.088235294117647,0.04818459450288429,204,222,8211,204
XGBoost__tabular_plus_graph,feature_ablation,tabular_plus_graph,validation_precision_at_least_80pct,0.5319206714630127,0.9511367492365117,0.47129186602870815,0.48284313725490197,0.47699757869249393,1.1218274111675126,0.04727971948874562,197,221,8212,211
XGBoost,tabular_ml,model_native,validation_precision_at_least_80pct,0.3727286159992218,0.9484221241940957,0.44713656387665196,0.49754901960784315,0.4709976798143852,1.2364532019704433,0.05135165705236964,203,251,8182,205
Extra Trees,tabular_ml,model_native,validation_precision_at_least_80pct,0.2530909730022714,0.9479696866870263,0.4432314410480349,0.49754901960784315,0.46882217090069284,1.2561576354679802,0.051804094559438976,203,255,8178,205
XGBoost__tabular_plus_graph_plus_spectral,feature_ablation,tabular_plus_graph_plus_spectral,validation_precision_at_least_80pct,0.5871026515960693,0.949213889831467,0.4528735632183908,0.48284313725490197,0.46737841043890865,1.2081218274111676,0.049202578893790296,197,238,8195,211
XGBoost__tabular_plus_graph_plus_node2vec,feature_ablation,tabular_plus_graph_plus_node2vec,validation_precision_at_least_80pct,0.5266790390014648,0.9480827960637936,0.44269662921348313,0.48284313725490197,0.4618991793669402,1.2588832487309645,0.05033367266146364,197,248,8185,211
XGBoost__all_features,feature_ablation,all_features,validation_precision_at_least_80pct,0.5960866212844849,0.9474041398031897,0.43680709534368073,0.48284313725490197,0.4586728754365541,1.2893401015228427,0.05101232892206764,197,254,8179,211
ExtraTrees__tabular_plus_graph_plus_spectral,feature_ablation,tabular_plus_graph_plus_spectral,validation_precision_at_least_80pct,0.22850386549629007,0.946159936658749,0.4267241379310345,0.4852941176470588,0.4541284403669725,1.3434343434343434,0.05248275082004298,198,266,8167,210
ExtraTrees__tabular_plus_graph_plus_node2vec,feature_ablation,tabular_plus_graph_plus_node2vec,validation_precision_at_least_80pct,0.22011848725391697,0.9457074991516796,0.4230769230769231,0.4852941176470588,0.4520547945205479,1.3636363636363635,0.05293518832711232,198,270,8163,210
Random Forest,tabular_ml,model_native,validation_precision_at_least_80pct,0.2638528884272639,0.9453681710213777,0.4200426439232409,0.48284313725490197,0.4492588369441277,1.380710659898477,0.05304829770387965,197,272,8161,211
ExtraTrees__all_features,feature_ablation,all_features,validation_precision_at_least_80pct,0.22344023220519693,0.944802624137541,0.41561181434599154,0.48284313725490197,0.4467120181405896,1.4060913705583757,0.05361384458771632,197,277,8156,211
ExtraTrees__tabular_plus_graph,feature_ablation,tabular_plus_graph,validation_precision_at_least_80pct,0.2285545166388584,0.9442370772537043,0.41164241164241167,0.4852941176470588,0.4454443194600675,1.4292929292929293,0.05440561022508766,198,283,8150,210
