model,n_seeds,auprc_mean,auprc_std,auroc_mean,auroc_std,recall_at_k_mean,recall_at_k_std,accuracy_mean,accuracy_std
GCN,5,0.1081165908907128,0.005985631037502766,0.7441889995652002,0.006734132699915553,0.1573529411764706,0.015732163270471767,0.5831467028616673,0.029753636016348603
GraphSAGE,5,0.3181949540750128,0.017664245997259055,0.7717096176784481,0.0030279434195596513,0.34411764705882353,0.009742454369780282,0.7552086868001358,0.0056585219674170255
MLP,5,0.3794347645358179,0.07629100740826886,0.8462913263253837,0.017610991651104677,0.4681372549019608,0.016072153245838227,0.9574256305847755,0.004970767837864411
