model,split,metric,point_estimate,ci_lower_95,ci_upper_95,n_test,positive_rate,bootstrap_resamples,k_for_precision_recall_at_k,train_seconds
Elliptic2_LogisticRegression,elliptic2_stratified_random_test,accuracy,0.7940017513134852,0.7882005253940455,0.7998029772329247,18272,0.022712346760070053,1000,914,8.978284120559692
Elliptic2_LogisticRegression,elliptic2_stratified_random_test,precision,0.08684924747100913,0.07873295222732557,0.09595016853500635,18272,0.022712346760070053,1000,914,8.978284120559692
Elliptic2_LogisticRegression,elliptic2_stratified_random_test,recall,0.8481927710843373,0.8129155104033919,0.8825277612826603,18272,0.022712346760070053,1000,914,8.978284120559692
Elliptic2_LogisticRegression,elliptic2_stratified_random_test,f1,0.1575649059982095,0.14396692103732522,0.17248611354815302,18272,0.022712346760070053,1000,914,8.978284120559692
Elliptic2_LogisticRegression,elliptic2_stratified_random_test,auroc,0.8852711400004453,0.8710860680078044,0.8995209022885556,18272,0.022712346760070053,1000,914,8.978284120559692
Elliptic2_LogisticRegression,elliptic2_stratified_random_test,auprc,0.15193625565837254,0.12976000504012944,0.17709273827991187,18272,0.022712346760070053,1000,914,8.978284120559692
Elliptic2_LogisticRegression,elliptic2_stratified_random_test,brier,0.14404550439008623,0.1407331482464797,0.1475521892132373,18272,0.022712346760070053,1000,914,8.978284120559692
Elliptic2_LogisticRegression,elliptic2_stratified_random_test,precision_at_k,0.18161925601750548,0.1564277899343545,0.20459518599562362,18272,0.022712346760070053,1000,914,8.978284120559692
Elliptic2_LogisticRegression,elliptic2_stratified_random_test,recall_at_k,0.4,0.34987859413758166,0.4461172616580822,18272,0.022712346760070053,1000,914,8.978284120559692
Elliptic2_RandomForest,elliptic2_stratified_random_test,accuracy,0.9818848511383538,0.9798051663747811,0.9839659041155867,18272,0.022712346760070053,1000,914,39.05695605278015
Elliptic2_RandomForest,elliptic2_stratified_random_test,precision,0.9285714285714286,0.8749273255813953,0.9764705882352941,18272,0.022712346760070053,1000,914,39.05695605278015
Elliptic2_RandomForest,elliptic2_stratified_random_test,recall,0.21927710843373494,0.17923274997721264,0.26120170937082143,18272,0.022712346760070053,1000,914,39.05695605278015
Elliptic2_RandomForest,elliptic2_stratified_random_test,f1,0.35477582846003897,0.297957012592271,0.4089238336336199,18272,0.022712346760070053,1000,914,39.05695605278015
Elliptic2_RandomForest,elliptic2_stratified_random_test,auroc,0.9226059639802419,0.9092998990691381,0.936319704917186,18272,0.022712346760070053,1000,914,39.05695605278015
Elliptic2_RandomForest,elliptic2_stratified_random_test,auprc,0.49404232321751523,0.444246244177955,0.5443888830297696,18272,0.022712346760070053,1000,914,39.05695605278015
Elliptic2_RandomForest,elliptic2_stratified_random_test,brier,0.015623037891063271,0.014085687051927023,0.017183216764213517,18272,0.022712346760070053,1000,914,39.05695605278015
Elliptic2_RandomForest,elliptic2_stratified_random_test,precision_at_k,0.2702407002188184,0.24286105032822758,0.3019967177242888,18272,0.022712346760070053,1000,914,39.05695605278015
Elliptic2_RandomForest,elliptic2_stratified_random_test,recall_at_k,0.5951807228915663,0.5485542543789169,0.6443930481283423,18272,0.022712346760070053,1000,914,39.05695605278015
Elliptic2_ExtraTrees,elliptic2_stratified_random_test,accuracy,0.9814470227670753,0.9794206983362522,0.9835280757443082,18272,0.022712346760070053,1000,914,22.34942603111267
Elliptic2_ExtraTrees,elliptic2_stratified_random_test,precision,0.88,0.8125,0.9382797270955165,18272,0.022712346760070053,1000,914,22.34942603111267
Elliptic2_ExtraTrees,elliptic2_stratified_random_test,recall,0.21204819277108433,0.17319864241443447,0.25482638888888887,18272,0.022712346760070053,1000,914,22.34942603111267
Elliptic2_ExtraTrees,elliptic2_stratified_random_test,f1,0.341747572815534,0.28780121931654096,0.39761490114431525,18272,0.022712346760070053,1000,914,22.34942603111267
Elliptic2_ExtraTrees,elliptic2_stratified_random_test,auroc,0.9204912386287041,0.906770751163334,0.9348012671659538,18272,0.022712346760070053,1000,914,22.34942603111267
Elliptic2_ExtraTrees,elliptic2_stratified_random_test,auprc,0.46168003266530766,0.4117653576330187,0.510794699310031,18272,0.022712346760070053,1000,914,22.34942603111267
Elliptic2_ExtraTrees,elliptic2_stratified_random_test,brier,0.016539998278039505,0.015073147744928721,0.01803344920821473,18272,0.022712346760070053,1000,914,22.34942603111267
Elliptic2_ExtraTrees,elliptic2_stratified_random_test,precision_at_k,0.26695842450765866,0.23851203501094093,0.2975929978118162,18272,0.022712346760070053,1000,914,22.34942603111267
Elliptic2_ExtraTrees,elliptic2_stratified_random_test,recall_at_k,0.5879518072289157,0.5439890357949049,0.6361612658406579,18272,0.022712346760070053,1000,914,22.34942603111267
Elliptic2_HistGradientBoosting,elliptic2_stratified_random_test,accuracy,0.8635617338003503,0.8586895249562172,0.868760945709282,18272,0.022712346760070053,1000,914,3.891817808151245
Elliptic2_HistGradientBoosting,elliptic2_stratified_random_test,precision,0.12490974729241877,0.11326148298664777,0.13659678462993377,18272,0.022712346760070053,1000,914,3.891817808151245
Elliptic2_HistGradientBoosting,elliptic2_stratified_random_test,recall,0.8337349397590361,0.7956019261637238,0.8692312348668281,18272,0.022712346760070053,1000,914,3.891817808151245
Elliptic2_HistGradientBoosting,elliptic2_stratified_random_test,f1,0.21726844583987442,0.19903611956270015,0.2359646797729021,18272,0.022712346760070053,1000,914,3.891817808151245
Elliptic2_HistGradientBoosting,elliptic2_stratified_random_test,auroc,0.9286553617730147,0.9166730067907072,0.941169163238246,18272,0.022712346760070053,1000,914,3.891817808151245
Elliptic2_HistGradientBoosting,elliptic2_stratified_random_test,auprc,0.46681206433210276,0.4198884424516382,0.5153692342782651,18272,0.022712346760070053,1000,914,3.891817808151245
Elliptic2_HistGradientBoosting,elliptic2_stratified_random_test,brier,0.08486920616617462,0.08231130411344559,0.08743801225340612,18272,0.022712346760070053,1000,914,3.891817808151245
Elliptic2_HistGradientBoosting,elliptic2_stratified_random_test,precision_at_k,0.26805251641137856,0.23960612691466082,0.2976203501094092,18272,0.022712346760070053,1000,914,3.891817808151245
Elliptic2_HistGradientBoosting,elliptic2_stratified_random_test,recall_at_k,0.5903614457831325,0.5444444444444444,0.6390155602009507,18272,0.022712346760070053,1000,914,3.891817808151245
Elliptic2_MLP,elliptic2_stratified_random_test,accuracy,0.9815017513134852,0.979531523642732,0.9834719789842382,18272,0.022712346760070053,1000,914,11.600204944610596
Elliptic2_MLP,elliptic2_stratified_random_test,precision,0.7769784172661871,0.7048950819672131,0.8500085034013605,18272,0.022712346760070053,1000,914,11.600204944610596
Elliptic2_MLP,elliptic2_stratified_random_test,recall,0.26024096385542167,0.21568511290772235,0.30569208252021185,18272,0.022712346760070053,1000,914,11.600204944610596
Elliptic2_MLP,elliptic2_stratified_random_test,f1,0.3898916967509025,0.3351232906212986,0.44404021558872303,18272,0.022712346760070053,1000,914,11.600204944610596
Elliptic2_MLP,elliptic2_stratified_random_test,auroc,0.9120639133787768,0.8986380848406531,0.9267012292457559,18272,0.022712346760070053,1000,914,11.600204944610596
Elliptic2_MLP,elliptic2_stratified_random_test,auprc,0.4370737614261049,0.38942315885379514,0.48646544297071476,18272,0.022712346760070053,1000,914,11.600204944610596
Elliptic2_MLP,elliptic2_stratified_random_test,brier,0.01631535623027596,0.014692775824800313,0.018033673929119656,18272,0.022712346760070053,1000,914,11.600204944610596
Elliptic2_MLP,elliptic2_stratified_random_test,precision_at_k,0.25820568927789933,0.2275711159737418,0.28665207877461707,18272,0.022712346760070053,1000,914,11.600204944610596
Elliptic2_MLP,elliptic2_stratified_random_test,recall_at_k,0.5686746987951807,0.5198059866962307,0.6108725954836911,18272,0.022712346760070053,1000,914,11.600204944610596
Elliptic2_XGBoost,elliptic2_stratified_random_test,accuracy,0.8584172504378283,0.8533794877408056,0.8637806479859895,18272,0.022712346760070053,1000,914,3.770982265472412
Elliptic2_XGBoost,elliptic2_stratified_random_test,precision,0.12054507337526206,0.1092804949585976,0.13240811250299422,18272,0.022712346760070053,1000,914,3.770982265472412
Elliptic2_XGBoost,elliptic2_stratified_random_test,recall,0.8313253012048193,0.7940252791563276,0.868493353653374,18272,0.022712346760070053,1000,914,3.770982265472412
Elliptic2_XGBoost,elliptic2_stratified_random_test,f1,0.2105584375953616,0.19245297379580298,0.2291919569338924,18272,0.022712346760070053,1000,914,3.770982265472412
Elliptic2_XGBoost,elliptic2_stratified_random_test,auroc,0.9256080602861689,0.9128947569644426,0.9396425960065111,18272,0.022712346760070053,1000,914,3.770982265472412
Elliptic2_XGBoost,elliptic2_stratified_random_test,auprc,0.46745246315050304,0.4190254294875464,0.5175956009094828,18272,0.022712346760070053,1000,914,3.770982265472412
Elliptic2_XGBoost,elliptic2_stratified_random_test,brier,0.09073499790265949,0.08817258581590912,0.09344288557537574,18272,0.022712346760070053,1000,914,3.770982265472412
Elliptic2_XGBoost,elliptic2_stratified_random_test,precision_at_k,0.27571115973741794,0.24286105032822758,0.3052516411378556,18272,0.022712346760070053,1000,914,3.770982265472412
Elliptic2_XGBoost,elliptic2_stratified_random_test,recall_at_k,0.6072289156626506,0.5575310085737382,0.6487411475971447,18272,0.022712346760070053,1000,914,3.770982265472412
