model,n_splits,accuracy_mean,accuracy_std,accuracy_ci_lower_95,accuracy_ci_upper_95,precision_mean,precision_std,precision_ci_lower_95,precision_ci_upper_95,recall_mean,recall_std,recall_ci_lower_95,recall_ci_upper_95,f1_mean,f1_std,f1_ci_lower_95,f1_ci_upper_95,auroc_mean,auroc_std,auroc_ci_lower_95,auroc_ci_upper_95,auprc_mean,auprc_std,auprc_ci_lower_95,auprc_ci_upper_95,brier_mean,brier_std,brier_ci_lower_95,brier_ci_upper_95,precision_at_k_mean,precision_at_k_std,precision_at_k_ci_lower_95,precision_at_k_ci_upper_95,recall_at_k_mean,recall_at_k_std,recall_at_k_ci_lower_95,recall_at_k_ci_upper_95
Elliptic2_RandomForest,5,0.9819286339754815,0.0003360350576403176,0.9816340862606524,0.9822231816903105,0.9076752621857647,0.02199067262010452,0.8883995877567618,0.9269509366147676,0.2274698795180723,0.011999903226977098,0.21695150057720786,0.23798825845893673,0.3636764637400693,0.016215471969550407,0.3494629758764957,0.37788995160364286,0.9231407210293827,0.0030199282683445764,0.9204936371904676,0.9257878048682978,0.48779445258765364,0.013767430116340415,0.4757267680183326,0.4998621371569747,0.01566345935959091,0.00021861658144664277,0.015471833477038571,0.015855085242143248,0.27330415754923415,0.009328697482403595,0.2651271936780574,0.2814811214204109,0.6019277108433736,0.020545613250402103,0.5839186867993843,0.6199367348873629
Elliptic2_HistGradientBoosting,5,0.8683121716287217,0.0050914317050070445,0.8638493349698059,0.8727750082876374,0.12746661956280403,0.004954294320423199,0.12312398912144913,0.13180925000415894,0.8197590361445783,0.01109480909226151,0.810034007192128,0.8294840650970287,0.22060240085440225,0.007594803703574397,0.2139452618904741,0.22725953981833039,0.9294853154005956,0.0028988014743313913,0.926944403877842,0.9320262269233492,0.4779332813352563,0.012130815460817316,0.4673001527620423,0.48856640990847033,0.08298716749829957,0.0019967160859274817,0.08123696868153832,0.08473736631506082,0.2757111597374179,0.00871847781756521,0.2680690769857412,0.2833532424890946,0.6072289156626507,0.019201659578926788,0.5903979189517289,0.6240599123735725
Elliptic2_XGBoost,5,0.8544986865148863,0.0034384600334563006,0.8514847434087782,0.8575126296209943,0.11775482660795902,0.003017465328051616,0.11510990163139635,0.1203997515845217,0.832289156626506,0.006283568583327865,0.8267813659210136,0.8377969473319985,0.20631170268548255,0.004787629969647484,0.2021151599886897,0.2105082453822754,0.9262533473761767,0.004008860382253093,0.9227394263199834,0.92976726843237,0.46704667147639983,0.010803025797400747,0.45757740185849644,0.47651594109430323,0.0924908242651794,0.0016224392091356732,0.09106869359567196,0.09391295493468685,0.2717724288840263,0.009865045145601633,0.2631253355577318,0.2804195222103208,0.5985542168674699,0.021726870513445486,0.5795097751801611,0.6175986585547787
Elliptic2_ExtraTrees,5,0.9816112084063047,0.00023855620312722555,0.9814021046747392,0.9818203121378701,0.8698863923686933,0.02355147049599211,0.8492426182810386,0.8905301664563479,0.22409638554216865,0.010910102576069171,0.21453325898954684,0.23365951209479047,0.35621114959664363,0.013546973543067681,0.34433670373382097,0.3680855954594663,0.9180399843198745,0.0033956790709765983,0.9150635403807436,0.9210164282590055,0.46067693171956786,0.010283268501995305,0.45166324945824105,0.4696906139808947,0.016558923563496104,0.00016029373634495592,0.01641841990868888,0.016699427218303326,0.26433260393873087,0.011697065436239915,0.25407967402527415,0.2745855338521876,0.5821686746987952,0.025761729659574153,0.5595875230339773,0.6047498263636131
Elliptic2_MLP,5,0.9813485113835376,0.0004157208628466139,0.9809841159808136,0.9817129067862617,0.7510314147523296,0.037116730710039784,0.71849716582801,0.7835656636766491,0.26987951807228916,0.02896581995222002,0.24448985743691315,0.29526917870766517,0.395809554087966,0.029760979259932555,0.3697229055887151,0.42189620258721683,0.9070733423698714,0.003563465174244703,0.9039498274267661,0.9101968573129766,0.422889036797734,0.02037964548828417,0.40502548991142706,0.4407525836840409,0.016583083350893837,0.0003288867524487994,0.01629480140182697,0.016871365299960705,0.24967177242888403,0.00838248634983718,0.2423241991837936,0.25701934567397444,0.5498795180722892,0.01846166873193054,0.533697151937319,0.5660618842072593
Elliptic2_LogisticRegression,5,0.7953042907180385,0.0028797306169625536,0.7927800955388036,0.7978284858972735,0.08614024453981553,0.0016847230462431902,0.0846635196799887,0.08761696939964236,0.8337349397590362,0.013198133915787131,0.8221662653111927,0.8453036142068797,0.1561457581537724,0.002946022536619724,0.1535634555449622,0.1587280607625826,0.8810668962460134,0.00481268627982276,0.8768483907249962,0.8852854017670306,0.14486429392667619,0.004727116563131745,0.1407207935693669,0.14900779428398547,0.1440820639934999,0.0017412292273285624,0.1425558092821472,0.1456083187048526,0.17155361050328227,0.008524092420473727,0.16408191406460365,0.1790253069419609,0.37783132530120483,0.018773543306778266,0.3613755890483078,0.39428706155410187
