model,feature_set,accuracy,precision,recall,f1,auroc,auprc,brier,precision_at_k,recall_at_k,k
ExtraTrees__tabular_plus_graph_plus_node2vec,tabular_plus_graph_plus_node2vec,0.9738717339667459,0.9585492227979274,0.4534313725490196,0.6156405990016639,0.8517927062915762,0.5534244733185978,0.027905459310484874,0.4469525959367946,0.4852941176470588,443
ExtraTrees__tabular_plus_graph_plus_spectral,tabular_plus_graph_plus_spectral,0.9740979527202805,0.9543147208121827,0.46078431372549017,0.6214876033057851,0.8463119328129687,0.5500552159140595,0.028395884973140308,0.4469525959367946,0.4852941176470588,443
ExtraTrees__tabular_plus_graph,tabular_plus_graph,0.9738717339667459,0.949238578680203,0.4583333333333333,0.6181818181818182,0.8468326171924954,0.5495929501528882,0.028476482500956746,0.44469525959367945,0.48284313725490197,443
ExtraTrees__all_features,all_features,0.9736455152132112,0.9533678756476683,0.45098039215686275,0.6123128119800333,0.8443290306754743,0.5472739915754818,0.02837537555890439,0.44469525959367945,0.48284313725490197,443
XGBoost__tabular_plus_graph,tabular_plus_graph,0.9469517022961204,0.43326039387308535,0.4852941176470588,0.4578034682080925,0.8415698248942647,0.5381024234255666,0.044958693084668565,0.4469525959367946,0.4852941176470588,443
HistGradientBoosting__tabular_plus_graph_plus_spectral,tabular_plus_graph_plus_spectral,0.957357764958715,0.5424657534246575,0.4852941176470588,0.5122897800776197,0.8430433776736117,0.5337362614147609,0.036908244193051554,0.4469525959367946,0.4852941176470588,443
XGBoost__tabular_plus_graph_plus_spectral,tabular_plus_graph_plus_spectral,0.9395995928062436,0.3793103448275862,0.4852941176470588,0.4258064516129032,0.8387267690190033,0.5336124673118797,0.04987285324519671,0.44469525959367945,0.48284313725490197,443
HistGradientBoosting__all_features,all_features,0.9563397805678091,0.529891304347826,0.47794117647058826,0.5025773195876289,0.8471815324018852,0.5333675189832563,0.03796736541248876,0.4469525959367946,0.4852941176470588,443
XGBoost__tabular_plus_graph_plus_node2vec,tabular_plus_graph_plus_node2vec,0.946159936658749,0.4264069264069264,0.48284313725490197,0.4528735632183908,0.8361519753163924,0.5333389863468438,0.045541838007574865,0.44469525959367945,0.48284313725490197,443
XGBoost__all_features,all_features,0.9351883271123176,0.35241502683363146,0.48284313725490197,0.4074457083764219,0.8308806090917336,0.5317411091638663,0.05229024214355169,0.44469525959367945,0.48284313725490197,443
HistGradientBoosting__tabular_plus_graph_plus_node2vec,tabular_plus_graph_plus_node2vec,0.9560004524375071,0.5256064690026954,0.47794117647058826,0.5006418485237484,0.8370823189942406,0.5307936541735256,0.038099271711069804,0.44469525959367945,0.48284313725490197,443
HistGradientBoosting__tabular_plus_graph,tabular_plus_graph,0.9528333898880217,0.48872180451127817,0.47794117647058826,0.483271375464684,0.8402636816614467,0.53070709003173,0.039849658428884986,0.44469525959367945,0.48284313725490197,443
XGBoost__graph_handcrafted,graph_handcrafted,0.46273046035516346,0.06856120826709063,0.8455882352941176,0.12683823529411764,0.6631831820834583,0.06806381159674835,0.31336585654968924,0.04966139954853273,0.05392156862745098,443
ExtraTrees__graph_handcrafted,graph_handcrafted,0.4906684764166949,0.07192138825005227,0.8431372549019608,0.13253708341360046,0.6651198722107128,0.06730602709937136,0.2884058812226521,0.05417607223476298,0.058823529411764705,443
HistGradientBoosting__graph_handcrafted,graph_handcrafted,0.4758511480601742,0.06965376782077393,0.8382352941176471,0.12861978187288453,0.6567379145420768,0.06645136551349834,0.31202343460755383,0.04288939051918736,0.04656862745098039,443
HistGradientBoosting__spectral_graph_embedding,spectral_graph_embedding,0.8631376541115259,0.06030701754385965,0.13480392156862744,0.08333333333333333,0.6084264548935903,0.059211647387720605,0.12177507463502929,0.07223476297968397,0.0784313725490196,443
HistGradientBoosting__node2vec_embedding,node2vec_embedding,0.5850016966406515,0.054142739950779326,0.4852941176470588,0.0974169741697417,0.5481928778863615,0.05406484603161188,0.2233251940683421,0.06997742663656885,0.07598039215686274,443
ExtraTrees__node2vec_embedding,node2vec_embedding,0.9538513742789277,0.0,0.0,0.0,0.5520807902195622,0.05358881440082033,0.06499170398922494,0.04966139954853273,0.05392156862745098,443
XGBoost__spectral_graph_embedding,spectral_graph_embedding,0.786336387286506,0.04374614910659273,0.17401960784313725,0.06991629739044805,0.5333255441391546,0.048744741957466586,0.15987150498001895,0.05191873589164785,0.056372549019607844,443
XGBoost__node2vec_embedding,node2vec_embedding,0.6466463069788485,0.047634910059960026,0.35049019607843135,0.08387096774193549,0.48441696137722257,0.0445385311884922,0.21477645428941686,0.03160270880361174,0.03431372549019608,443
ExtraTrees__spectral_graph_embedding,spectral_graph_embedding,0.9445764053840063,0.0,0.0,0.0,0.4561761915723245,0.04016580773547036,0.08959435618622065,0.009029345372460496,0.00980392156862745,443
