family,model,feature_set,accuracy,precision,recall,f1,auroc,auprc,brier,precision_at_k,recall_at_k,k
feature_ablation,ExtraTrees__tabular_plus_graph_plus_node2vec,tabular_plus_graph_plus_node2vec,0.9738717339667459,0.9585492227979274,0.4534313725490196,0.6156405990016639,0.8517927062915762,0.5534244733185978,0.027905459310484874,0.4469525959367946,0.4852941176470588,443
graph_ai,GraphSAGE,model_native,0.2943105983486031,0.05617293347541483,0.9044117647058824,0.10577612154221012,0.7835682298533074,0.31082795481927344,0.3365362160943114,0.28442437923250563,0.3088235294117647,443
strict_temporal_graph_ai,StrictTemporalGraphSAGE,model_native,0.8358782943105983,0.1525649566955363,0.5612745098039216,0.2399161864850707,0.7928324300193219,0.38089103465253693,0.1102861656406708,0.36343115124153497,0.3946078431372549,443
tabular_ml,Extra Trees,model_native,0.9738717339667459,0.9234449760765551,0.4730392156862745,0.6256077795786061,0.8694701080954141,0.5698956987932415,0.02874524194667172,0.4582392776523702,0.49754901960784315,443
