epoch,loss,val_auprc,val_auroc
1,1.257878303527832,0.06596721015761872,0.40558775717288437
5,1.134800672531128,0.161174917496807,0.7351298936621833
10,1.0345427989959717,0.1759175757655748,0.7629109847896541
15,0.9653930068016052,0.18281280793098628,0.7711367895712318
20,0.9071245193481445,0.1881225192941401,0.7753459861874734
25,0.8555231690406799,0.19410297917023364,0.7773822466581761
30,0.8061215877532959,0.19931952173066064,0.7787680551672724
35,0.7697407007217407,0.2064037706919561,0.7817013015251763
40,0.7267435193061829,0.21796538917439348,0.7873102848445315
45,0.692604660987854,0.23546925383920503,0.7950584495594281
50,0.6571794748306274,0.2542909190560407,0.8036274966607646
55,0.6278269290924072,0.2713443598665414,0.8112784352706074
60,0.607094407081604,0.28594923793548555,0.8188339079924206
65,0.5806281566619873,0.3004571864947752,0.8259774899305231
70,0.558784008026123,0.3138945597884431,0.8321512958303565
75,0.5429991483688354,0.3225296903483692,0.8363722962548794
80,0.5267238616943359,0.32777180736805117,0.8395290901748829
85,0.5134477615356445,0.3315736876424735,0.8418954431087503
90,0.497029185295105,0.3371779879373303,0.844677828513445
95,0.48830223083496094,0.3414445379474541,0.8471036146574307
100,0.4765494465827942,0.3435988777834427,0.8488164093643547
