model,accuracy,precision,recall,f1,auroc,auprc,brier,precision_at_k,recall_at_k,k
Elliptic2_RandomForest,0.9818848511383538,0.9285714285714286,0.21927710843373494,0.35477582846003897,0.9226059639802419,0.49404232321751523,0.015623037891063271,0.2702407002188184,0.5951807228915663,914
Elliptic2_XGBoost,0.8584172504378283,0.12054507337526206,0.8313253012048193,0.2105584375953616,0.9256080602861689,0.46745246315050304,0.09073499790265949,0.27571115973741794,0.6072289156626506,914
Elliptic2_HistGradientBoosting,0.8635617338003503,0.12490974729241877,0.8337349397590361,0.21726844583987442,0.9286553617730147,0.46681206433210276,0.08486920616617462,0.26805251641137856,0.5903614457831325,914
Elliptic2_ExtraTrees,0.9814470227670753,0.88,0.21204819277108433,0.341747572815534,0.9204912386287041,0.46168003266530766,0.016539998278039505,0.26695842450765866,0.5879518072289157,914
Elliptic2_MLP,0.9815017513134852,0.7769784172661871,0.26024096385542167,0.3898916967509025,0.9120639133787768,0.4370737614261049,0.01631535623027596,0.25820568927789933,0.5686746987951807,914
Elliptic2_LogisticRegression,0.7940017513134852,0.08684924747100913,0.8481927710843373,0.1575649059982095,0.8852711400004453,0.15193625565837254,0.14404550439008623,0.18161925601750548,0.4,914
